1,2,3
Screen_Name,Screen_Name,Screen_Name
Shehla_Rashid,RahulGandhi,Shehla_Rashid
ArvindKejriwal,narendramodi,RKRadhakrishn
RKRadhakrishn,juliaioffe,SwamiGeetika
AtishiAAP,Swamy39,imRahulAggarwal
msisodia,ArvindKejriwal,tterIndia
SwamiGeetika,divyaspandana,Inkhabar
imRahulAggarwal,arunjaitley,AkbaruddinIndia
JSPvizianagaram,sardesairajdeep,RohanJa97142831
narendramodi,priyankac19,SanjaySDutt
tterIndia,mvmeet,Jitenders_Aap
Inkhabar,sardanarohit,iBackModi
AkbaruddinIndia,ippatel,KiranJa41732853
RohanJa97142831,sambitswaraj,RaniRosser
SanjaySDutt,PChidambaram_IN,AapActive123
RahulGandhi,ShefVaidya,Dwarkanath17
Jitenders_Aap,swaroopkaimal,abhishekINDIAN7
iBackModi,mssirsa,Jayant_R_Patil
KiranJa41732853,DrKumarVishwas,geetv79
RaniRosser,Shehla_Rashid,HansdakVijay
PawarSpeaks,dpradhanbjp,MySarkarnama
AapActive123,ajitanjum,salman7khurshid
Jayant_R_Patil,ShatruganSinha,aapomgoyal
abhishekINDIAN7,DuaVinod_,PasagadaPRASHAD
Dwarkanath17,tanburt42,AdamRamsay
geetv79,abhisar_sharma,dalitsamajindia
HansdakVijay,SirPunyaPrasun,rojer2627
AmitShah,sanjaynirupam,KrushnaSundar
salman7khurshid,jarariya91,HarishKhuranna
PavanRanaRSS,mepratap,shahritesh07
aapomgoyal,vishrupandey,Harinani_
PasagadaPRASHAD,ShobhaBJP,RajivKGupta63
AdamRamsay,VasundharaBJP,ramanswall
_YogendraYadav,sagarikaghose,raja4bjp
virendersehwag,iMac_too,rajsan2017
KrushnaSundar,bainjal,bhaimanoj_AAP
rojer2627,HTLpramod,sircaustick
yogrishiramdev,akhileshsharma1,AnilThakur_
jairamthakurbjp,HusnaPervez,THarishyam
shahritesh07,MirwaizKashmir,Sandeep05068002
arunjaitley,JhaSanjay,SanjayBragta
Harinani_,nikhildadhich,Gaurav98716016
S_MahajanLS,DKShivakumar,SunilKu17830014
sahilvikas3,Shehzad_Ind,mariaItarana
MODIfied_Sher,idevadhikari,DeepuaKahin
jaipksingh,romanaisarkhan,dilipmandal
Yashawantjangi1,capt_amarinder,SaleemJaved1307
yadavakhilesh,RKRadhakrishn,RituRathaur
HarishKhuranna,AkbaruddinIndia,Vivekdoza